INS Number,Name,Functional class,Safety Rating (Safe/Caution/High Risk),Health Concern,ADI (Acceptable Daily Intake),EU Warning,US Warning
100,Curcumins,,Safe,None generally recognized at normal levels,3 mg/kg bw,Approved,Approved
100(i),Curcumin,Colour,Safe,None generally recognized at normal levels,3 mg/kg bw,Approved,Approved
100(ii),Turmeric,Colour,Safe,,Not specified,Approved,Approved
101,Riboflavins,,Safe,None (Vitamin B2),Not specified,Approved,Approved
101(i),"Riboflavin, synthetic",Colour,Safe,,Not specified,Approved,Approved
101(ii),Riboflavin 5'-phosphate sodium,Colour,Safe,,Not specified,Approved,Approved
101(iii),Riboflavin from Bacillus subtilis,Colour,Safe,,Not specified,Approved,Approved
101(iv),Riboflavin from Ashbya gossypii,Colour,Safe,,Not specified,Approved,Approved
102,Tartrazine,Colour,Caution,"Hyperactivity in children, allergic reactions in sensitive individuals",7.5 mg/kg bw,Requires warning: 'may have an adverse effect on activity and attention in children',Requires specific declaration on labels
103,Alkanet,Colour,High risk,Potential toxicity/carcinogenicity,Not allocated,Banned/Not permitted,Banned/Not permitted
104,Quinoline yellow,Colour,Caution,Hyperactivity in children,0.5 mg/kg bw,Requires warning: 'may have an adverse effect on activity and attention in children',Banned/Not permitted for food
105,Carthamus yellow,Colour,Safe,None at normal levels,Not allocated,Not permitted,Not permitted as color additive
107,Yellow 2G,Colour,High risk,Potential toxicity,Not allocated,Banned/Not permitted,Banned/Not permitted
110,Sunset yellow FCF,Colour,Caution,"Hyperactivity in children, allergic reactions",4 mg/kg bw,Requires warning: 'may have an adverse effect on activity and attention in children',Approved
120,Carmines (Cochineal extract),Colour,Caution,Rare allergic reactions/anaphylaxis,5 mg/kg bw,Approved,Requires specific declaration on labels due to allergens
121,Citrus red No. 2,Colour,High risk,Possible carcinogen,Not allocated,Banned/Not permitted,Restricted (only allowed on skins of certain oranges not intended for processing)
122,Azorubine (Carmoisine),Colour,Caution,Hyperactivity in children,4 mg/kg bw,Requires warning: 'may have an adverse effect on activity and attention in children',Banned/Not permitted
123,Amaranth,Colour,High risk,Suspected carcinogen/toxicity,0.15 mg/kg bw,Restricted (permitted in some foods/caviar),Banned/Not permitted
124,Ponceau 4R (Cochineal red A),Colour,Caution,Hyperactivity in children,0.7 mg/kg bw,Requires warning: 'may have an adverse effect on activity and attention in children',Banned/Not permitted
125,Ponceau SX,Colour,High risk,Potential toxicity,Not allocated,Banned/Not permitted,Restricted (limited specific uses only)
127,Erythrosine,Colour,Caution,Thyroid issues at high doses,0.1 mg/kg bw,Restricted (only cocktail cherries/candied cherries),"Approved (banned in cosmetics, but allowed in food)"
129,Allura red AC,Colour,Caution,Hyperactivity in children,7 mg/kg bw,Requires warning: 'may have an adverse effect on activity and attention in children',Approved
130,Manascorubin,Colour,High risk,Toxicity/Lack of safety data,Not allocated,Not permitted,Not permitted
