alias,plain_name,type,notes,,
Sucrose,Table Sugar,Direct Sugar,Most common sugar â€” what you add to tea,,
Glucose,Glucose,Direct Sugar,Simple sugar â€” rapid blood sugar spike,,
Fructose,Fruit Sugar,Direct Sugar,Found naturally in fruit but added industrially â€” metabolised differently from glucose, linked to fatty liver at high doses,
Dextrose,Glucose,Direct Sugar,Another name for glucose â€” same rapid spike,,
Lactose,Milk Sugar,Direct Sugar,Natural milk sugar â€” causes issues in lactose intolerant individuals,,
Maltose,Malt Sugar,Direct Sugar,Two glucose units â€” found in beer and malted products,,
Galactose,Galactose,Direct Sugar,Simple sugar found in dairy â€” less common as additive,,
Trehalose,Trehalose,Direct Sugar,Two glucose units â€” used in processed foods for texture and sweetness,,
Maltodextrin,Processed Starch,Ultra-processed Sugar,GI higher than table sugar (GI 110 vs sugar 65) â€” spikes blood glucose faster than eating sugar directly. Not labelled as sugar on nutrition panel,,
Modified Starch,Processed Starch,Ultra-processed Sugar,Chemically altered starch â€” behaves like sugar in body. Broad term covering many varieties,,
Corn Syrup,Corn Syrup,Liquid Sugar,Glucose syrup from corn â€” very high GI. Cheaper than sugar so widely used in processed food,,
High Fructose Corn Syrup,HFCS,Liquid Sugar,Processed corn syrup with elevated fructose â€” linked to obesity and fatty liver in multiple studies. Common in imported products,,
Corn Syrup Solids,Dried Corn Syrup,Liquid Sugar,Dehydrated corn syrup â€” same metabolic effects as liquid corn syrup,,
Glucose Syrup,Glucose Syrup,Liquid Sugar,Liquid form of glucose â€” very high GI sweetener derived from starch,,
Fructose Syrup,Fructose Syrup,Liquid Sugar,High fructose liquid â€” similar concerns to HFCS,,
Golden Syrup,Refined Sugar Syrup,Liquid Sugar,Partially inverted sugar syrup â€” mix of glucose and fructose,,
Invert Sugar,Invert Sugar,Liquid Sugar,Equal mix of glucose and fructose â€” sweeter than table sugar,,
Invert Syrup,Invert Sugar Syrup,Liquid Sugar,Liquid form of invert sugar â€” used to keep products moist,,
Refiners Syrup,Refined Sugar Syrup,Liquid Sugar,Byproduct of sugar refining â€” less refined than golden syrup,,
Treacle,Dark Sugar Syrup,Liquid Sugar,Dark refined sugar syrup â€” high sugar content,,
Molasses,Molasses,Liquid Sugar,Byproduct of sugar refining â€” darker and less processed than treacle. Contains some minerals,,
Blackstrap Molasses,Dark Molasses,Liquid Sugar,Least processed molasses â€” higher mineral content but still high in sugar,,
Evaporated Cane Juice,Cane Sugar,Disguised Sugar,Marketing term for sugar â€” same metabolic effect as table sugar. FDA ruled it must be labelled as sugar in USA,,
Cane Sugar,Cane Sugar,Disguised Sugar,Minimally processed sugar from sugarcane â€” same effect as table sugar despite sounding more natural,,
Cane Juice,Cane Sugar,Disguised Sugar,Dried sugarcane juice â€” essentially sugar with minimal minerals,,
Raw Sugar,Unrefined Sugar,Disguised Sugar,Slightly less processed than white sugar â€” same blood glucose effect,,
Turbinado Sugar,Raw Cane Sugar,Disguised Sugar,Partially refined sugar â€” minimal nutritional difference from white sugar,,
Demerara Sugar,Raw Cane Sugar,Disguised Sugar,Coarse raw sugar with molasses coating â€” same metabolic effect as white sugar,,
Muscovado Sugar,Unrefined Sugar,Disguised Sugar,Unrefined sugar with strong molasses flavour â€” still sugar,,
Panela,Unrefined Cane Sugar,Disguised Sugar,Whole unrefined cane sugar common in South Asia â€” jaggery equivalent. Still high sugar,,
Jaggery,Unrefined Cane Sugar,Disguised Sugar,Traditional Indian unrefined sugar â€” marketed as healthy but same blood glucose response as sugar,,
Khandsari,Partially Refined Sugar,Disguised Sugar,Indian semi-refined sugar â€” same metabolic effect as white sugar,,
Beet Sugar,Sugar from Beet,Disguised Sugar,Chemically identical to cane sugar â€” same metabolic effect,,
Coconut Sugar,Coconut Palm Sugar,Disguised Sugar,From coconut palm sap â€” marginally lower GI than white sugar (GI 35 vs 65) but still significant sugar load,,
Palm Sugar,Palm Sugar,Disguised Sugar,From various palm species â€” similar to coconut sugar. Common in Southeast Asian products,,
Date Sugar,Dried Date,Disguised Sugar,Ground dried dates â€” has fibre unlike refined sugar but still high in natural sugar,,
Maple Syrup,Maple Syrup,Disguised Sugar,From maple tree sap â€” contains some minerals but primarily sugar. GI similar to table sugar,,
Agave Nectar,Agave Syrup,Disguised Sugar,Very high fructose content (up to 90%) â€” marketed as low GI but high fructose linked to fatty liver,,
Agave Syrup,Agave Syrup,Disguised Sugar,Same as agave nectar â€” high fructose concerns apply,,
Honey,Honey,Disguised Sugar,Mix of fructose and glucose â€” natural origin but same blood glucose impact. Diabetics should treat as sugar,,
Rice Syrup,Rice Sugar,Disguised Sugar,Derived from rice starch â€” very high GI (GI 98) â€” one of the worst for blood sugar spikes,,
Brown Rice Syrup,Rice Sugar,Disguised Sugar,Same as rice syrup â€” high GI despite sounding healthy. Common in organic products,,
Barley Malt,Malt Sugar,Disguised Sugar,From malted barley â€” contains maltose. Common in health bars and cereals,,
Barley Malt Extract,Malt Sugar,Disguised Sugar,Concentrated barley malt â€” high in maltose. Common in biscuits and bread,,
Malt Extract,Malt Sugar,Disguised Sugar,Concentrated malt â€” primarily maltose. Found in Horlicks and similar drinks,,
Malt Syrup,Malt Sugar,Disguised Sugar,Liquid form of malt extract â€” same high maltose content,,
Sorghum Syrup,Sorghum Sugar,Disguised Sugar,From sorghum grain â€” high in sugar. Less common in India but found in some products,,
Carob Syrup,Carob Sugar,Disguised Sugar,From carob pods â€” naturally sweet with some fibre. Less processed than refined sugar,,
Fruit Juice Concentrate,Concentrated Fruit Sugar,Disguised Sugar,Water removed from fruit juice â€” very high fructose. Common in products labelled no added sugar,,
Apple Juice Concentrate,Concentrated Apple Sugar,Disguised Sugar,Concentrated apple juice â€” same sugar impact as adding sugar directly despite natural label,,
Grape Juice Concentrate,Concentrated Grape Sugar,Disguised Sugar,Concentrated grape juice â€” very high natural sugar content used as sweetener,,
Pear Juice Concentrate,Concentrated Pear Sugar,Disguised Sugar,Concentrated pear juice â€” high fructose content used to sweeten,,
White Grape Juice Concentrate,Concentrated Grape Sugar,Disguised Sugar,Colourless concentrated grape juice â€” common hidden sweetener in products labelled natural,,
Dried Fruit,Concentrated Fruit Sugar,Disguised Sugar,Raisins, dates, apricots used as sweetener â€” high sugar density. Fine in small amounts as whole fruit but concentrated in processed food
Raisin Paste,Concentrated Grape Sugar,Disguised Sugar,Blended raisins used as sweetener â€” very high natural sugar,,
Date Paste,Concentrated Date Sugar,Disguised Sugar,Blended dates used as sweetener â€” high natural sugar but has fibre,,
Fruit Puree,Concentrated Fruit Sugar,Disguised Sugar,Pureed fruit used as sweetener â€” retains some fibre but still high sugar,,
Sorbitol,Sugar Alcohol,Sugar Alcohol,Sugar alcohol â€” lower GI than sugar but causes bloating and diarrhoea in large amounts. Common in sugar-free products,,
Xylitol,Sugar Alcohol,Sugar Alcohol,Sugar alcohol from birch or corn â€” lower calorie and lower GI. Toxic to dogs. Common in sugar-free chewing gum,,
Erythritol,Sugar Alcohol,Sugar Alcohol,Sugar alcohol â€” very low calorie, low GI. 2023 study linked high blood levels to cardiovascular risk â€” ongoing research,
Mannitol,Sugar Alcohol,Sugar Alcohol,Sugar alcohol â€” laxative effect at high doses. Used in sugar-free sweets and medicines,,
Maltitol,Sugar Alcohol,Sugar Alcohol,Sugar alcohol â€” higher GI than other sugar alcohols (GI 35) â€” less suitable for diabetics than marketed,,
Lactitol,Sugar Alcohol,Sugar Alcohol,Sugar alcohol from lactose â€” low GI but digestive discomfort at high doses,,
Isomalt,Sugar Alcohol,Sugar Alcohol,Sugar alcohol â€” low GI, low calorie. Less digestive issues than other sugar alcohols,
Hydrogenated Starch Hydrolysate,Sugar Alcohol Mix,Sugar Alcohol,Mix of sugar alcohols from starch â€” used in sugar-free confectionery,,
Aspartame,Artificial Sweetener,Artificial Sweetener,200x sweeter than sugar â€” IARC 2023 classified Group 2B possible carcinogen. No calories but safety under review,,
Saccharin,Artificial Sweetener,Artificial Sweetener,Oldest artificial sweetener â€” 300x sweeter than sugar. Animal studies showed bladder tumours at very high doses. Human safety at food levels considered acceptable,,
Sucralose,Artificial Sweetener,Artificial Sweetener,600x sweeter than sugar â€” made from chlorinated sugar. Some studies suggest gut microbiome disruption. Common in diet products in India,,
Acesulfame K,Artificial Sweetener,Artificial Sweetener,200x sweeter than sugar â€” often used with aspartame. Animal studies raised concerns but regulatory bodies consider safe at ADI,,
Stevia,Natural Sweetener,Natural Sweetener,From stevia plant â€” 200-400x sweeter than sugar. Generally considered safe. Some bitter aftertaste. Not all stevia products are equally pure,,
Steviol Glycosides,Natural Sweetener,Natural Sweetener,Purified active compounds from stevia â€” considered safe. Look for this on label rather than generic stevia,,
Monk Fruit Extract,Natural Sweetener,Natural Sweetener,From monk fruit â€” zero calorie, zero GI. Generally considered very safe. Rare in Indian products currently,
Thaumatin,Natural Sweetener,Natural Sweetener,Protein from West African fruit â€” 2000x sweeter than sugar. Very small amounts used. No safety concerns identified,,
Neotame,Artificial Sweetener,Artificial Sweetener,7000-13000x sweeter than sugar â€” used in tiny amounts. Limited long-term human data. Derived from aspartame but different metabolism,,
Advantame,Artificial Sweetener,Artificial Sweetener,20000x sweeter than sugar â€” newest approved sweetener. Very limited use currently. Limited long-term data,,
